additional_bank_names,amendment_chain,amendment_indicator,amendment_version,bank_depository_city,bank_depository_name,bank_depository_state,bank_depository_street_1,bank_depository_street_2,bank_depository_zip,beginning_image_number,candidate_id,candidate_name,cash_on_hand_beginning_period,cash_on_hand_end_period,committee_id,committee_name,committee_type,coverage_end_date,coverage_start_date,csv_url,cycle,debts_owed_by_committee,debts_owed_to_committee,document_description,document_type,document_type_full,election_year,ending_image_number,fec_file_id,fec_url,file_number,form_category,form_type,house_personal_funds,html_url,is_amended,means_filed,most_recent,most_recent_file_number,net_donations,office,opposition_personal_funds,pages,party,pdf_url,previous_file_number,primary_general_indicator,receipt_date,report_type,report_type_full,report_year,request_type,senate_personal_funds,state,sub_id,total_communication_cost,total_disbursements,total_independent_expenditures,total_individual_contributions,total_receipts,treasurer_name,update_date
,[1818059],N,0.0,,,,,,,202409209684600456,,,20567.34,17259.95,C00233361,MARIN COUNTY REPUBLICAN CENTRAL COMMITTEE (FEDERAL),Y,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/059/1818059.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209684600478,FEC-1818059,https://docquery.fec.gov/dcdev/posted/1818059.fec,1818059.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00233361/1818059/,False,e-file,True,1818059.0,,,,23.0,,https://docquery.fec.gov/pdf/456/202409209684600456/202409209684600456.pdf,1818059.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246029,,5014.87,,,1707.48,"MAIN, DERRICK O MR.",2024-09-21
,,,0.0,,,,,,,202409200300221366,,,,,C00331835,NAVIENT CORPORATION PAC (NAVIENT PAC),Q,,,,2024,,,Termination Approval 2024,K,Termination Approval,,202409200300221366,,,,OTHER,F99,,,False,paper,True,,,,,1.0,,https://docquery.fec.gov/pdf/366/202409200300221366/202409200300221366.pdf,0.0,,2024-09-20T00:00:00,,,2024,,,,1092020240265418365,,,,,,,2024-09-20
,[1817918],N,0.0,,,,,,,202409209683524881,,,74647.97,90811.09,C00858100,PRO PAC,W,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/918/1817918.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209683525019,FEC-1817918,https://docquery.fec.gov/dcdev/posted/1817918.fec,1817918.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00858100/1817918/,False,e-file,True,1817918.0,,,,139.0,,https://docquery.fec.gov/pdf/881/202409209683524881/202409209683524881.pdf,1817918.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099919,,140070.28,,,156233.4,"PERRONE, VICTORIA",2024-09-20
,[1817854],N,0.0,,,,,,,202409209683359252,,,86309.92,83499.18,C00529628,THE REPUBLICAN PARTY OF FORT BEND COUNTY FEDERAL COMMITTEE,X,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/854/1817854.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209683359284,FEC-1817854,https://docquery.fec.gov/dcdev/posted/1817854.fec,1817854.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00529628/1817854/,False,e-file,True,1817854.0,,,,33.0,,https://docquery.fec.gov/pdf/252/202409209683359252/202409209683359252.pdf,1817854.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099868,,4841.74,,,2031.0,"WHITE, DOUGLAS",2024-09-20
,[1816982],N,0.0,,,,,,,202409209675570885,,,513771.21,505608.79,C00678995,BE A HERO PAC,W,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/982/1816982.csv,2024,18601.38,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675570903,FEC-1816982,https://docquery.fec.gov/dcdev/posted/1816982.fec,1816982.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00678995/1816982/,False,e-file,True,1816982.0,,,,19.0,,https://docquery.fec.gov/pdf/885/202409209675570885/202409209675570885.pdf,1816982.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099080,,13739.72,,,5577.3,"MURRAY, ALLISON",2024-09-20
,[1817851],N,0.0,,,,,,,202409209675859992,,,,,C00834630,BUCKEYE VALUES PAC,O,,,https://docquery.fec.gov/csv/851/1817851.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409209675859992,FEC-1817851,https://docquery.fec.gov/dcdev/posted/1817851.fec,1817851.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00834630/1817851/,False,e-file,True,1817851.0,,,,1.0,,https://docquery.fec.gov/pdf/992/202409209675859992/202409209675859992.pdf,1817851.0,,2024-09-20T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092020242041098036,,,,,,"MELTON, KAYLEN",2024-09-20
,"[1805110, 1817191]",A,1.0,,,,,,,202409209675607164,,,1481615.78,1523235.74,C00550970,EQUALITY PAC,Q,2024-06-30,2024-06-01,https://docquery.fec.gov/csv/191/1817191.csv,2024,0.0,0.0,JULY MONTHLY 2024,,,,202409209675608376,FEC-1817191,https://docquery.fec.gov/dcdev/posted/1817191.fec,1817191.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00550970/1817191/,False,e-file,True,1817191.0,,,,1213.0,,https://docquery.fec.gov/pdf/164/202409209675607164/202409209675607164.pdf,1805110.0,P,2024-09-20T00:00:00,M7,JULY MONTHLY,2024,,,,4092020242041099282,,469206.15,,,510826.11,"MAY, JENNIFER",2024-09-20
,[1817909],N,0.0,,,,,,,202409209683523195,,,118187.86,110288.26,C00345132,REPUBLICAN JEWISH COALITION-POLITICAL ACTION COMMITTEE (RJC-PAC),Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/909/1817909.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209683523685,FEC-1817909,https://docquery.fec.gov/dcdev/posted/1817909.fec,1817909.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00345132/1817909/,False,e-file,True,1817909.0,,,,491.0,,https://docquery.fec.gov/pdf/195/202409209683523195/202409209683523195.pdf,1817909.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099912,,256742.55,,,248842.95,"BROOKS, MATTHEW",2024-09-20
,[1817209],N,0.0,,,,,,,202409209675613594,,,54428.6,57384.52,C00639260,US RENAL CARE PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/209/1817209.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675613605,FEC-1817209,https://docquery.fec.gov/dcdev/posted/1817209.fec,1817209.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00639260/1817209/,False,e-file,True,1817209.0,,,,12.0,,https://docquery.fec.gov/pdf/594/202409209675613594/202409209675613594.pdf,1817209.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099299,,0.0,,,2955.92,"EGAN, JOHN",2024-09-20
,[1817579],N,0.0,,,,,,,202409209675674850,,,167523.51,163720.94,C00385377,ROAD TO VICTORY POLITICAL ACTION COMMITTEE,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/579/1817579.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675674855,FEC-1817579,https://docquery.fec.gov/dcdev/posted/1817579.fec,1817579.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00385377/1817579/,False,e-file,True,1817579.0,,,,6.0,,https://docquery.fec.gov/pdf/850/202409209675674850/202409209675674850.pdf,1817579.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099624,,3802.57,,,0.0,"DUNCAN, HALLIE",2024-09-20
,[1817899],N,0.0,,,,,,,202409209683521380,,,59878.92,62632.8,C00414649,ENCOMPASS HEALTH CORPORATION POLITICAL ACTION COMMITTEE,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/899/1817899.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209683521413,FEC-1817899,https://docquery.fec.gov/dcdev/posted/1817899.fec,1817899.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00414649/1817899/,False,e-file,True,1817899.0,,,,34.0,,https://docquery.fec.gov/pdf/380/202409209683521380/202409209683521380.pdf,1817899.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099905,,3502.5,,,6256.38,"FAY, EDMUND M.",2024-09-20
,"[1811539, 1818112]",A,1.0,,,,,,,202409209684651351,,,46677.23,54377.95,C00001917,WY DEMOCRATIC STATE CENTRAL COMMITTEE,Y,2024-07-31,2024-07-01,https://docquery.fec.gov/csv/112/1818112.csv,2024,13505.55,0.0,AUGUST MONTHLY 2024,,,,202409209684651440,FEC-1818112,https://docquery.fec.gov/dcdev/posted/1818112.fec,1818112.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00001917/1818112/,False,e-file,True,1818112.0,,,,90.0,,https://docquery.fec.gov/pdf/351/202409209684651351/202409209684651351.pdf,1811539.0,P,2024-09-20T00:00:00,M8,AUGUST MONTHLY,2024,,,,4092120242041246066,,31357.95,,,39058.67,"CASE, DUDLEY",2024-09-21
,[1816987],N,0.0,,,,,,,202409209675570974,,,26783.35,31271.35,C00829663,NOT SO OLD FASHIONED PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/987/1816987.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675570980,FEC-1816987,https://docquery.fec.gov/dcdev/posted/1816987.fec,1816987.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00829663/1816987/,False,e-file,True,1816987.0,,,,7.0,,https://docquery.fec.gov/pdf/974/202409209675570974/202409209675570974.pdf,1816987.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099085,,3012.0,,,7500.0,"MURRAY, ALLISON",2024-09-20
,[1817708],N,0.0,,,,,,,202409209675781011,,,53094.09,598069.09,C00532630,OUR AMERICAN CENTURY,O,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/708/1817708.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675781017,FEC-1817708,https://docquery.fec.gov/dcdev/posted/1817708.fec,1817708.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00532630/1817708/,False,e-file,True,1817708.0,,,,7.0,,https://docquery.fec.gov/pdf/011/202409209675781011/202409209675781011.pdf,1817708.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099741,,5025.0,,,550000.0,"HOBBS, CABELL",2024-09-20
,[1817101],N,0.0,,,,,,,202409209675592053,,,517516.72,521045.92,C00377143,BUILD AMERICA PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/101/1817101.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675592059,FEC-1817101,https://docquery.fec.gov/dcdev/posted/1817101.fec,1817101.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00377143/1817101/,False,e-file,True,1817101.0,,,,7.0,,https://docquery.fec.gov/pdf/053/202409209675592053/202409209675592053.pdf,1817101.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099195,,1484.02,,,5013.22,"SIMMONS, PATSY A.",2024-09-20
,[1818018],N,0.0,,,,,,,202409209684593013,,,25836.67,38536.99,C00872440,DEMOCRATS DEFENDING DEMOCRACY,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/018/1818018.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209684593059,FEC-1818018,https://docquery.fec.gov/dcdev/posted/1818018.fec,1818018.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00872440/1818018/,False,e-file,True,1818018.0,,,,47.0,,https://docquery.fec.gov/pdf/013/202409209684593013/202409209684593013.pdf,1818018.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041100009,,2940.4,,,15640.72,"COLEMAN, KIMBERLY",2024-09-20
,[1817067],N,0.0,,,,,,,202409209675578508,,,2178.83,8609.68,C00822478,SECURING A KINDER DEMOCRACY PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/067/1817067.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675578514,FEC-1817067,https://docquery.fec.gov/dcdev/posted/1817067.fec,1817067.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00822478/1817067/,False,e-file,True,1817067.0,,,,7.0,,https://docquery.fec.gov/pdf/508/202409209675578508/202409209675578508.pdf,1817067.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099163,,69.15,,,6500.0,"NISSEN, MELISSA",2024-09-20
,[1817947],N,0.0,,,,,,,202409209684211503,,,5724.06,5721.71,C00637504,SOCIAL SECURITY WORKS PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/947/1817947.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209684211512,FEC-1817947,https://docquery.fec.gov/dcdev/posted/1817947.fec,1817947.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00637504/1817947/,False,e-file,True,1817947.0,,,,10.0,,https://docquery.fec.gov/pdf/503/202409209684211503/202409209684211503.pdf,1817947.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099944,,191.85,,,189.5,"BALL, JONATHAN",2024-09-20
,[1817685],N,0.0,,,,,,,202409209675757685,,,161330.7,167568.96,C00725184,"EAST WEST BANCORP, INC POLITICAL ACTION COMMITTEE",N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/685/1817685.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675757707,FEC-1817685,https://docquery.fec.gov/dcdev/posted/1817685.fec,1817685.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00725184/1817685/,False,e-file,True,1817685.0,,,,23.0,,https://docquery.fec.gov/pdf/685/202409209675757685/202409209675757685.pdf,1817685.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099720,,41.42,,,6279.68,"KIYOTA, TRAVIS",2024-09-20
,[1817332],N,0.0,,,,,,,202409209675629846,,,,,C00779595,RSLC PAC,O,,,https://docquery.fec.gov/csv/332/1817332.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409209675629846,FEC-1817332,https://docquery.fec.gov/dcdev/posted/1817332.fec,1817332.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00779595/1817332/,False,e-file,True,1817332.0,,,,1.0,,https://docquery.fec.gov/pdf/846/202409209675629846/202409209675629846.pdf,1817332.0,,2024-09-20T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092020242041098017,,,,,,"HOBBS, CABELL",2024-09-20
,[-1146936],N,0.0,,,,,,,202409200300480826,,,3837.0,4122.0,C00879197,HEITHOLD FOR CONGRESS,H,2024-09-06,2024-07-18,,2024,381.0,,TERMINATION REPORT 2024,,,,202409200300480834,,,-1146936.0,REPORT,F3,,,False,paper,True,-1146936.0,,H,,9.0,,https://docquery.fec.gov/pdf/826/202409200300480826/202409200300480826.pdf,-1146936.0,P,2024-09-20T00:00:00,TER,TERMINATION REPORT,2024,,,,1092020240265418335,,381.5,,,666.3,,2024-09-20
,[1817982],N,0.0,,,,,,,202409209684219527,,,392675.35,470159.29,C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/982/1817982.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209684220315,FEC-1817982,https://docquery.fec.gov/dcdev/posted/1817982.fec,1817982.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00542365/1817982/,False,e-file,True,1817982.0,,,,789.0,,https://docquery.fec.gov/pdf/527/202409209684219527/202409209684219527.pdf,1817982.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099978,,19000.0,,,96483.94,"WANG, CINDY",2024-09-20
